,BAA1_1_2,BAA2_1_2,Transacting BAAs_1_2,Exchange_1_2,BAA2_2_1,BAA1_2_1,Transacting BAAs_2_1,Exchange_2_1,Exchange_1_2_abs,Exchange_2_1_abs,Status_Check,Delta,Percent_Diff_Avg,Exchange_mean,Final_Exchange,Export_BAA,Import_BAA
2685,OVEC,LGEE,OVEC-LGEE,-571445.0,OVEC,LGEE,LGEE-OVEC,1640523.0,571445.0,1640523.0,keep,-1069078.0,1.2612508619954574,1105984.0,1640523.0,LGEE,OVEC
2695,OVEC,PJM,OVEC-PJM,6892843.0,OVEC,PJM,PJM-OVEC,-4891567.0,6892843.0,4891567.0,keep,2001276.0,0.34973447302909794,5892205.0,6892843.0,OVEC,PJM
2723,PACE,AZPS,PACE-AZPS,2331717.0,PACE,AZPS,AZPS-PACE,-2335997.0,2331717.0,2335997.0,keep,-4280.0,0.001833875682406394,2333857.0,2333857.0,PACE,AZPS
2749,PACE,IPCO,PACE-IPCO,6355464.0,PACE,IPCO,IPCO-PACE,-6316527.0,6355464.0,6316527.0,keep,38937.0,0.006145422234327957,6335995.5,6335995.5,PACE,IPCO
2752,PACE,LDWP,PACE-LDWP,1458101.0,PACE,LDWP,LDWP-PACE,-10606.0,1458101.0,10606.0,keep,1447495.0,68.73580301738599,734353.5,1458101.0,PACE,LDWP
2755,PACE,NEVP,PACE-NEVP,2079845.0,PACE,NEVP,NEVP-PACE,-2083228.0,2079845.0,2083228.0,keep,-3383.0,0.0016252428117280449,2081536.5,2081536.5,PACE,NEVP
2757,PACE,NWMT,PACE-NWMT,-1181265.0,PACE,NWMT,NWMT-PACE,1177992.0,1181265.0,1177992.0,keep,3273.0,0.0027746076830483246,1179628.5,1179628.5,NWMT,PACE
2761,PACE,PACW,PACE-PACW,-7530261.0,PACE,PACW,PACW-PACE,7545540.0,7530261.0,7545540.0,keep,-15279.0,0.0020269590575874297,7537900.5,7537900.5,PACW,PACE
2774,PACE,SRP,PACE-SRP,-168882.0,PACE,SRP,SRP-PACE,169413.0,168882.0,169413.0,keep,-531.0,0.0031392796716370186,169147.5,169147.5,SRP,PACE
2782,PACE,WACM,PACE-WACM,-2780278.0,PACE,WACM,WACM-PACE,2294130.0,2780278.0,2294130.0,keep,486148.0,0.1933827106603842,2537204.0,2537204.0,WACM,PACE
2790,PACW,AVA,PACW-AVA,-138704.0,PACW,AVA,AVA-PACW,138704.0,138704.0,138704.0,keep,0.0,0.0,138704.0,138704.0,AVA,PACW
2793,PACW,BPAT,PACW-BPAT,-8980815.0,PACW,BPAT,BPAT-PACW,8980775.0,8980815.0,8980775.0,keep,40.0,4.4539486760419855e-06,8980795.0,8980795.0,BPAT,PACW
2795,PACW,CISO,PACW-CISO,431584.0,PACW,CISO,CISO-PACW,-431593.0,431584.0,431593.0,keep,-9.0,2.0853196971148957e-05,431588.5,431588.5,PACW,CISO
2807,PACW,GCPD,PACW-GCPD,-1435037.0,PACW,GCPD,GCPD-PACW,1435037.0,1435037.0,1435037.0,keep,0.0,0.0,1435037.0,1435037.0,GCPD,PACW
2817,PACW,IPCO,PACW-IPCO,-1495618.0,PACW,IPCO,IPCO-PACW,1480209.0,1495618.0,1480209.0,keep,15409.0,0.010356390449656139,1487913.5,1487913.5,IPCO,PACW
2828,PACW,PACE,PACW-PACE,7545540.0,PACW,PACE,PACE-PACW,-7530261.0,7545540.0,7530261.0,keep,15279.0,0.0020269590575874297,7537900.5,7537900.5,PACW,PACE
2830,PACW,PGE,PACW-PGE,1284710.0,PACW,PGE,PGE-PACW,-1285369.0,1284710.0,1285369.0,keep,-659.0,0.0005128247367707783,1285039.5,1285039.5,PACW,PGE
2861,PGE,BPAT,PGE-BPAT,-13095059.0,PGE,BPAT,BPAT-PGE,9159798.0,13095059.0,9159798.0,keep,3935261.0,0.36506903523079826,11127428.5,9159798.0,BPAT,PGE
2897,PGE,PACW,PGE-PACW,-1285369.0,PGE,PACW,PACW-PGE,1284710.0,1285369.0,1284710.0,keep,659.0,0.0005128247367707783,1285039.5,1285039.5,PACW,PGE
2932,PJM,CPLE,PJM-CPLE,-5409651.0,PJM,CPLE,CPLE-PJM,4645843.0,5409651.0,4645843.0,keep,763808.0,0.15280017133710566,5027747.0,5027747.0,CPLE,PJM
